"id","name","french_name","norm_name","norm_french_name","country_code","postal_code","zone1","zone2","lat","lng","note","url_unique"
"43178","El Arroyo Albanchez",,"el-arroyo-albanchez",,"ES","04858","0","0","37.32472","-2.14474","0","-1"
"43179","El Arroyo de Urracal",,"el-arroyo-de-urracal",,"ES","04811","0","0","37.38798","-2.30501","0","-1"
"43180","El Arroyo del Saliente",,"el-arroyo-del-saliente",,"ES","04813","0","0","37.48333","-2.15000","0","-1"
"43181","El Arroyo Franco y Estella",,"el-arroyo-franco-y-estella",,"ES","04867","0","0","37.25936","-2.34561","0","-1"
"43182","El Arteal",,"el-arteal",,"ES","04610","0","0","37.38062","-1.77395","0","-1"
"43183","El Barranco de Quiles",,"el-barranco-de-quiles",,"ES","04810","0","0","37.50743","-2.25726","0","-1"
"43184","El Barranco del Infierno",,"el-barranco-del-infierno",,"ES","04858","0","0","37.30509","-2.15392","0","-1"
"43185","El Barranquete",,"el-barranquete",,"ES","04117","0","0","36.83741","-2.19529","0","-1"
"43186","El Bobar",,"el-bobar",,"ES","04120","0","0","36.82786","-2.41523","0","-1"
"43187","El Cabo de Gata",,"el-cabo-de-gata",,"ES","04150","0","0","36.83514","-2.22778","0","-1"
"43188","El Calar Alto",,"el-calar-alto",,"ES","04550","0","0","37.22186","-2.54893","0","-1"
"43189","El Calón",,"el-calon",,"ES","04610","0","0","37.31202","-1.70526","0","-1"
"43190","El Camino Real",,"el-camino-real",,"ES","04510","0","0","37.15431","-2.78741","0","-1"
"43191","El Campico",,"el-campico",,"ES","04288","0","0","37.20070","-2.01426","0","-1"
"43192","El Campico de las Moletas",,"el-campico-de-las-moletas",,"ES","04271","0","0","37.16723","-2.03822","0","-1"
"43193","El Campillo",,"el-campillo",,"ES","04779","0","0","36.75701","-2.99335","0","-1"
"43194","El Campillo del Moro",,"el-campillo-del-moro",,"ES","04720","0","0","36.80841","-2.58757","0","-1"
"43195","El Cañal",,"el-canal",,"ES","04770","0","0","37.17753","-2.20553","0","-1"
