"id","name","french_name","norm_name","norm_french_name","country_code","postal_code","zone1","zone2","lat","lng","note","url_unique"
"123","Saint-André-le-Bouchoux",,"saint-andre-le-bouchoux",,"FR","01240","22","23","46.11707","5.07867","308","1"
"124","La Chapelle-du-Châtelard",,"la-chapelle-du-chatelard",,"FR","01240","22","23","46.06921","5.02412","278","1"
"125","Saint-Germain-sur-Renon",,"saint-germain-sur-renon",,"FR","01240","22","23","46.08027","5.05652","245","1"
"126","Lent",,"lent",,"FR","01240","22","23","46.11977","5.19507","129","0"
"127","Ceyzériat",,"ceyzeriat",,"FR","01250","22","23","46.17776","5.32456","2641","1"
"128","Montagnat",,"montagnat",,"FR","01250","22","23","46.17105","5.28585","1600","1"
"129","Jasseron",,"jasseron",,"FR","01250","22","23","46.21233","5.32539","1403","1"
"130","Tossiat",,"tossiat",,"FR","01250","22","23","46.14097","5.31631","1361","1"
"131","Villereversure",,"villereversure",,"FR","01250","22","23","46.18532","5.38258","1287","1"
"132","Cize",,"cize",,"FR","01250","22","23","46.20478","5.44477","846","0"
"133","Bohas-Meyriat-Rignat",,"bohas-meyriat-rignat",,"FR","01250","22","23","46.14140","5.35602","829","1"
"134","Hautecourt-Romanèche",,"hautecourt-romaneche",,"FR","01250","22","23","46.15950","5.41731","744","1"
"135","Simandre-sur-Suran",,"simandre-sur-suran",,"FR","01250","22","23","46.22618","5.41752","671","1"
"136","Revonnas",,"revonnas",,"FR","01250","22","23","46.16279","5.32972","640","1"
"137","Chavannes-sur-Suran",,"chavannes-sur-suran",,"FR","01250","22","23","46.26348","5.42659","628","1"
"138","Corveissiat",,"corveissiat",,"FR","01250","22","23","46.24382","5.48246","514","1"
"139","Journans",,"journans",,"FR","01250","22","23","46.14463","5.33469","340","1"
"140","Ramasse",,"ramasse",,"FR","01250","22","23","46.19157","5.36589","269","1"
"141","Rignat",,"rignat",,"FR","01250","22","23","46.14140","5.35602","266","1"
"142","Drom",,"drom",,"FR","01250","22","23","46.21822","5.36702","171","0"
"143","Saint-Just",,"saint-just",,"FR","01250","22","23","46.18996","5.27881","149","0"
"144","Germagnat",,"germagnat",,"FR","01250","22","23","46.30994","5.44991","137","1"
"145","Grand-Corent",,"grand-corent",,"FR","01250","22","23","46.20163","5.43187","134","1"
"146","Pouillat",,"pouillat",,"FR","01250","22","23","46.32778","5.42855","78","1"
"147","Champagne-en-Valromey",,"champagne-en-valromey",,"FR","01260","22","23","45.90476","5.67845","710","1"
"148","Belmont-Luthézieu",,"belmont-luthezieu",,"FR","01260","22","23","45.88052","5.66099","476","1"
"149","Vieu",,"vieu",,"FR","01260","22","23","45.89735","5.68226","375","1"
"150","Virieu-le-Petit",,"virieu-le-petit",,"FR","01260","22","23","45.90904","5.72505","314","1"
"151","Hotonnes",,"hotonnes",,"FR","01260","22","23","45.99797","5.69425","312","1"
"152","Sutrieu",,"sutrieu",,"FR","01260","22","23","45.95028","5.65774","225","1"
"153","Ruffieu",,"ruffieu",,"FR","01260","22","23","45.99471","5.66382","178","1"
"154","Le Petit-Abergement",,"le-petit-abergement",,"FR","01260","22","23","46.03146","5.66594","150","1"
"155","Songieu",,"songieu",,"FR","01260","22","23","45.97336","5.70156","122","1"
"156","Le Grand-Abergement",,"le-grand-abergement",,"FR","01260","22","23","46.03448","5.67416","109","1"
"157","Lompnieu",,"lompnieu",,"FR","01260","22","23","45.96170","5.66022","107","1"
"158","Brénaz",,"brenaz",,"FR","01260","22","23","45.94751","5.72273","98","1"
"159","Lochieu",,"lochieu",,"FR","01260","22","23","45.93066","5.72786","90","1"
"160","Coligny",,"coligny",,"FR","01270","22","23","46.38325","5.34544","1171","1"
"161","Beaupont",,"beaupont",,"FR","01270","22","23","46.41113","5.26444","563","1"
"162","Villemotier",,"villemotier",,"FR","01270","22","23","46.34629","5.32080","539","1"
"163","Domsure",,"domsure",,"FR","01270","22","23","46.41955","5.29546","468","1"
"164","Pirajoux",,"pirajoux",,"FR","01270","22","23","46.37093","5.29880","318","1"
"165","Salavre",,"salavre",,"FR","01270","22","23","46.36444","5.34738","294","1"
"166","Verjon",,"verjon",,"FR","01270","22","23","46.34676","5.34961","246","1"
"167","Prévessin-Moëns",,"prevessin-moens",,"FR","01280","22","23","46.25451","6.08123","4995","1"
"168","Grièges",,"grieges",,"FR","01290","22","23","46.25499","4.85143","1762","1"
"169","Crottet",,"crottet",,"FR","01290","22","23","46.27802","4.89327","1691","0"
"170","Pont-de-Veyle",,"pont-de-veyle",,"FR","01290","22","23","46.26361","4.88849","1594","1"
"171","Laiz",,"laiz",,"FR","01290","22","23","46.24561","4.89272","1129","1"
"172","Saint-Jean-sur-Veyle",,"saint-jean-sur-veyle",,"FR","01290","22","23","46.25724","4.91490","1043","1"
"173","Cormoranche-sur-Saône",,"cormoranche-sur-saone",,"FR","01290","22","23","46.24030","4.83136","1038","1"
"174","Cruzilles-lès-Mépillat",,"cruzilles-les-mepillat",,"FR","01290","22","23","46.22400","4.88184","795","1"
"175","Bey",,"bey",,"FR","01290","22","23","46.21997","4.84591","763","0"
"176","Biziat",,"biziat",,"FR","01290","22","23","46.21663","4.94366","759","1"
"177","Saint-André-d'Huiriat",,"saint-andre-d-huiriat",,"FR","01290","22","23","46.21358","4.91223","503","1"
"178","Belley",,"belley",,"FR","01300","22","23","45.76031","5.68644","8888","1"
"179","Brens",,"brens",,"FR","01300","22","23","45.72064","5.69529","2016","0"
"180","Cuzieu",,"cuzieu",,"FR","01300","22","23","45.81725","5.68397","1498","0"
"181","Peyrieu",,"peyrieu",,"FR","01300","22","23","45.67824","5.67592","818","1"
"182","Virignin",,"virignin",,"FR","01300","22","23","45.71525","5.71250","749","1"
"183","Saint-Benoît",,"saint-benoit",,"FR","01300","22","23","45.69422","5.58750","725","0"
"184","Chazey-Bons",,"chazey-bons",,"FR","01300","22","23","45.77650","5.68471","719","1"
"185","Brégnier-Cordon",,"bregnier-cordon",,"FR","01300","22","23","45.62520","5.62968","699","1"
"186","Massignieu-de-Rives",,"massignieu-de-rives",,"FR","01300","22","23","45.75442","5.76650","579","1"
"187","Nattages",,"nattages",,"FR","01300","22","23","45.73033","5.76338","542","1"
"188","Contrevoz",,"contrevoz",,"FR","01300","22","23","45.80611","5.62774","479","1"
"189","Arbignieu",,"arbignieu",,"FR","01300","22","23","45.72864","5.65059","478","1"
"190","Magnieu",,"magnieu",,"FR","01300","22","23","45.77641","5.71931","407","1"
"191","Saint-Germain-les-Paroisses",,"saint-germain-les-paroisses",,"FR","01300","22","23","45.77221","5.61549","369","1"
"192","Parves",,"parves",,"FR","01300","22","23","45.74318","5.74169","353","1"
"193","Andert-et-Condon",,"andert-et-condon",,"FR","01300","22","23","45.78247","5.66447","334","1"
"194","Prémeyzel",,"premeyzel",,"FR","01300","22","23","45.68360","5.64789","251","1"
"195","Murs-et-Gélignieux",,"murs-et-gelignieux",,"FR","01300","22","23","45.64181","5.66163","245","1"
"196","Izieu",,"izieu",,"FR","01300","22","23","45.65201","5.64123","186","1"
"197","Marignieu",,"marignieu",,"FR","01300","22","23","45.79689","5.71958","168","1"
"198","Saint-Champ",,"saint-champ",,"FR","01300","22","23","45.77498","5.73376","141","1"
"199","Colomieu",,"colomieu",,"FR","01300","22","23","45.73303","5.62152","124","1"
"200","Ambléon",,"ambleon",,"FR","01300","22","23","45.74954","5.60138","120","1"
"201","Saint-Bois",,"saint-bois",,"FR","01300","22","23","45.70066","5.64049","119","1"
"202","Conzieu",,"conzieu",,"FR","01300","22","23","45.72626","5.60721","106","1"
"203","Polliat",,"polliat",,"FR","01310","22","23","46.24818","5.12659","2353","1"
"204","Buellas",,"buellas",,"FR","01310","22","23","46.20976","5.13251","1696","1"
"205","Confrançon",,"confrancon",,"FR","01310","22","23","46.26750","5.06622","1075","1"
"206","Saint-Rémy",,"saint-remy",,"FR","01310","22","23","46.18896","5.16779","1037","0"
"207","Montracol",,"montracol",,"FR","01310","22","23","46.19767","5.12294","880","1"
"208","Saint-Martin-le-Châtel",,"saint-martin-le-chatel",,"FR","01310","22","23","46.28160","5.11642","787","1"
"209","Curtafond",,"curtafond",,"FR","01310","22","23","46.27073","5.08973","676","1"
"210","Montcet",,"montcet",,"FR","01310","22","23","46.21252","5.11196","658","1"
"211","Chalamont",,"chalamont",,"FR","01320","22","23","45.99665","5.17176","2034","1"
"212","Châtillon-la-Palud",,"chatillon-la-palud",,"FR","01320","22","23","45.97315","5.25528","1466","1"
"213","Saint-Nizier-le-Désert",,"saint-nizier-le-desert",,"FR","01320","22","23","46.05579","5.14825","803","1"
"214","Villette-sur-Ain",,"villette-sur-ain",,"FR","01320","22","23","45.98796","5.26941","652","1"
"215","Châtenay",,"chatenay",,"FR","01320","22","23","46.03379","5.20080","173","0"
"216","Crans",,"crans",,"FR","01320","22","23","45.96201","5.21331","70","0"
"217","Villars-les-Dombes",,"villars-les-dombes",,"FR","01330","22","23","46.00132","5.02958","4390","1"
"218","Ambérieux-en-Dombes",,"amberieux-en-dombes",,"FR","01330","22","23","45.99747","4.90321","1469","1"
"219","Lapeyrouse",,"lapeyrouse",,"FR","01330","22","23","45.98247","4.97543","589","0"
"220","Le Plantay",,"le-plantay",,"FR","01330","22","23","46.02213","5.08915","528","1"
"221","Versailleux",,"versailleux",,"FR","01330","22","23","45.98065","5.10569","332","1"
"222","Bouligneux",,"bouligneux",,"FR","01330","22","23","46.02225","4.99127","312","1"
"223","Sainte-Olive",,"sainte-olive",,"FR","01330","22","23","46.01966","4.92873","306","1"
"224","Birieux",,"birieux",,"FR","01330","22","23","45.95325","5.03951","213","1"
"225","Saint-Sulpice",,"saint-sulpice",,"FR","01340","22","23","46.32038","5.04147","7624","0"
"226","Attignat",,"attignat",,"FR","01340","22","23","46.28952","5.16351","2544","1"
"227","Montrevel-en-Bresse",,"montrevel-en-bresse",,"FR","01340","22","23","46.33806","5.12730","2306","1"
"228","Foissiat",,"foissiat",,"FR","01340","22","23","46.36996","5.17505","1811","1"
"229","Cras-sur-Reyssouze",,"cras-sur-reyssouze",,"FR","01340","22","23","46.30818","5.16442","1125","1"
"230","Jayat",,"jayat",,"FR","01340","22","23","46.36915","5.11885","961","1"
"231","Malafretaz",,"malafretaz",,"FR","01340","22","23","46.32317","5.14639","867","1"
"232","Marsonnas",,"marsonnas",,"FR","01340","22","23","46.34134","5.07080","854","1"
"233","Saint-Didier-d'Aussiat",,"saint-didier-d-aussiat",,"FR","01340","22","23","46.30644","5.06079","805","1"
"234","Etrez",,"etrez",,"FR","01340","22","23","46.33462","5.18630","521","1"
"235","Béréziat",,"bereziat",,"FR","01340","22","23","46.36838","5.04526","366","1"
"236","Culoz",,"culoz",,"FR","01350","22","23","45.84992","5.78080","3012","1"
"237","Anglefort",,"anglefort",,"FR","01350","22","23","45.91414","5.80899","909","1"
"238","Ceyzérieu",,"ceyzerieu",,"FR","01350","22","23","45.83520","5.72678","904","1"
"239","Béon",,"beon",,"FR","01350","22","23","45.85374","5.75607","514","0"
"240","Cressin-Rochefort",,"cressin-rochefort",,"FR","01350","22","23","45.77786","5.76299","358","1"
"241","Pollieu",,"pollieu",,"FR","01350","22","23","45.80004","5.74215","153","1"
"242","Lavours",,"lavours",,"FR","01350","22","23","45.80933","5.77108","132","1"
"243","Vongnes",,"vongnes",,"FR","01350","22","23","45.81529","5.72572","66","1"
"244","Flaxieu",,"flaxieu",,"FR","01350","22","23","45.80898","5.73438","54","1"
"245","Béligneux",,"beligneux",,"FR","01360","22","23","45.86743","5.12843","2878","1"
"246","Loyettes",,"loyettes",,"FR","01360","22","23","45.77423","5.20577","2451","1"
"247","Balan",,"balan",,"FR","01360","22","23","45.83325","5.09781","1699","0"
"248","Bressolles",,"bressolles",,"FR","01360","22","23","45.86659","5.09578","1066","0"
"249","Treffort-Cuisiat",,"treffort-cuisiat",,"FR","01370","22","23","46.30072","5.38888","2060","1"
"250","Meillonnas",,"meillonnas",,"FR","01370","22","23","46.24547","5.35199","1351","1"
"251","Bény",,"beny",,"FR","01370","22","23","46.31777","5.28392","731","1"
"252","Saint-Etienne-du-Bois",,"saint-etienne-du-bois",,"FR","01370","22","23","46.28719","5.29348","507","0"
"253","Courmangoux",,"courmangoux",,"FR","01370","22","23","46.33057","5.36934","476","1"
"254","Cuisiat",,"cuisiat",,"FR","01370","22","23","46.30071","5.38888","412","1"
"255","Pressiat",,"pressiat",,"FR","01370","22","23","46.32372","5.38557","204","1"
"256","Bâgé-la-Ville",,"bage-la-ville",,"FR","01380","22","23","46.31649","4.94618","2694","1"
"257","Saint-Cyr-sur-Menthon",,"saint-cyr-sur-menthon",,"FR","01380","22","23","46.27468","4.97266","1547","1"
"258","Bâgé-le-Châtel",,"bage-le-chatel",,"FR","01380","22","23","46.30800","4.92860","874","1"
"259","Saint-André-de-Bâgé",,"saint-andre-de-bage",,"FR","01380","22","23","46.30333","4.92544","561","1"
"260","Saint-Genis-sur-Menthon",,"saint-genis-sur-menthon",,"FR","01380","22","23","46.28187","5.00834","396","1"
"261","Dommartin",,"dommartin",,"FR","01380","22","23","46.33712","4.98898","391","0"
"262","Boissey",,"boissey",,"FR","01380","22","23","46.38131","4.99615","169","0"
"263","Saint-André-de-Corcy",,"saint-andre-de-corcy",,"FR","01390","22","23","45.92935","4.95546","3046","1"
"264","Mionnay",,"mionnay",,"FR","01390","22","23","45.89635","4.93106","2185","1"
"265","Tramoyes",,"tramoyes",,"FR","01390","22","23","45.87774","4.96864","1629","1"
"266","Civrieux",,"civrieux",,"FR","01390","22","23","45.92067","4.88272","1423","1"
"267","Saint-Marcel",,"saint-marcel",,"FR","01390","22","23","45.94869","4.98612","703","0"
"268","Rancé",,"rance",,"FR","01390","22","23","45.96551","4.87000","656","0"
"269","Monthieux",,"monthieux",,"FR","01390","22","23","45.95654","4.94040","603","1"
"270","Saint-Jean-de-Thurigneux",,"saint-jean-de-thurigneux",,"FR","01390","22","23","45.95167","4.88255","590","1"
"271","Châtillon-sur-Chalaronne",,"chatillon-sur-chalaronne",,"FR","01400","22","23","46.11941","4.95672","5019","1"
"272","Neuville-les-Dames",,"neuville-les-dames",,"FR","01400","22","23","46.16208","5.00278","1522","1"
"273","L'Abergement-Clémenciat",,"l-abergement-clemenciat",,"FR","01400","22","23","46.15168","4.92007","1000","1"
"274","Condeissiat",,"condeissiat",,"FR","01400","22","23","46.15955","5.07904","759","1"
"275","Romans",,"romans",,"FR","01400","22","23","46.12058","5.02221","685","0"
"276","Chanoz-Châtenay",,"chanoz-chatenay",,"FR","01400","22","23","46.18454","5.02953","632","1"
"277","Sulignat",,"sulignat",,"FR","01400","22","23","46.17755","4.96424","580","1"
"278","Sandrans",,"sandrans",,"FR","01400","22","23","46.06359","4.98107","509","1"
"279","Dompierre-sur-Chalaronne",,"dompierre-sur-chalaronne",,"FR","01400","22","23","46.14286","4.90482","362","1"
"280","Saint-Georges-sur-Renon",,"saint-georges-sur-renon",,"FR","01400","22","23","46.10616","5.03119","193","1"
"281","Champfromier",,"champfromier",,"FR","01410","22","23","46.19458","5.81184","647","1"
"282","Chézery-Forens",,"chezery-forens",,"FR","01410","22","23","46.22241","5.86685","412","0"
"283","Mijoux",,"mijoux",,"FR","01410","22","23","46.36625","5.99627","386","0"
"284","Lélex",,"lelex",,"FR","01410","22","23","46.30492","5.94364","233","1"
"285","Seyssel",,"seyssel",,"FR","01420","22","23","45.95723","5.83101","2099","0"
"286","Corbonod",,"corbonod",,"FR","01420","22","23","45.96825","5.82144","1098","1"
"287","Chanay",,"chanay",,"FR","01420","22","23","46.00539","5.78595","624","1"
"288","Surjoux",,"surjoux",,"FR","01420","22","23","46.02350","5.80332","75","1"
"289","Lhôpital",,"lhopital",,"FR","01420","22","23","46.02194","5.77915","57","1"
"290","Saint-Martin-du-Frêne",,"saint-martin-du-frene",,"FR","01430","22","23","46.14025","5.55308","1098","1"
"291","Vieu-d'Izenave",,"vieu-d-izenave",,"FR","01430","22","23","46.08017","5.52985","667","1"
"292","Maillat",,"maillat",,"FR","01430","22","23","46.12993","5.53879","660","1"
"293","Lantenay",,"lantenay",,"FR","01430","22","23","46.05764","5.54143","465","0"
"294","Outriaz",,"outriaz",,"FR","01430","22","23","46.06686","5.54779","294","1"
