"id","name","french_name","norm_name","norm_french_name","country_code","postal_code","zone1","zone2","lat","lng","note","url_unique"
"127552","Wittlingen",,"wittlingen",,"DE","79599","0","0","47.65473","7.64970","0","-1"
"127553","Zell im Wiesental",,"zell-im-wiesental",,"DE","79669","0","0","47.70765","7.85206","0","-1"
"127554","Achern",,"achern",,"DE","77855","0","0","48.63176","8.07465","0","-1"
"127555","Appenweier",,"appenweier",,"DE","77767","0","0","48.53989","7.97943","0","-1"
"127556","Bad Peterstal-Griesbach",,"bad-peterstal-griesbach",,"DE","77740","0","0","48.42944","8.20621","0","-1"
"127557","Berghaupten",,"berghaupten",,"DE","77791","0","0","48.40675","7.98895","0","-1"
"127558","Biberach",,"biberach",,"DE","77781","0","0","48.33925","8.02743","0","-1"
"127559","Durbach",,"durbach",,"DE","77770","0","0","48.49428","8.01603","0","-1"
"127560","Ettenheim",,"ettenheim",,"DE","77955","0","0","48.25254","7.81329","0","-1"
"127561","Fischerbach",,"fischerbach",,"DE","77716","0","0","48.28707","8.11112","0","-1"
"127562","Friesenheim",,"friesenheim",,"DE","77948","0","0","48.37336","7.88179","0","-1"
"127563","Gengenbach",,"gengenbach",,"DE","77723","0","0","48.40164","8.01669","0","-1"
"127564","Gutach (Schwarzwaldbahn)",,"gutach-(schwarzwaldbahn)",,"DE","77793","0","0","48.24885","8.21124","0","-1"
"127565","Haslach im Kinzigtal",,"haslach-im-kinzigtal",,"DE","77716","0","0","48.27941","8.09059","0","-1"
"127566","Hausach",,"hausach",,"DE","77756","0","0","48.28395","8.16649","0","-1"
"127567","Hofstetten",,"hofstetten",,"DE","77716","0","0","48.25712","8.06812","0","-1"
"127568","Hohberg",,"hohberg",,"DE","77749","0","0","48.41457","7.88712","0","-1"
"127569","Hornberg",,"hornberg",,"DE","78132","0","0","48.21236","8.22968","0","-1"
"127570","Kappel-Grafenhausen",,"kappel-grafenhausen",,"DE","77966","0","0","48.28438","7.76704","0","-1"
"127571","Kappelrodeck",,"kappelrodeck",,"DE","77876","0","0","48.59142","8.11698","0","-1"
"127572","Kehl",,"kehl",,"DE","77694","0","0","48.57247","7.81327","0","-1"
"127573","Kippenheim",,"kippenheim",,"DE","77971","0","0","48.29606","7.82550","0","-1"
"127574","Lahr",,"lahr",,"DE","77933","0","0","48.33698","7.86226","0","-1"
"127575","Lauf",,"lauf",,"DE","77886","0","0","48.64918","8.13133","0","-1"
"127576","Lautenbach",,"lautenbach",,"DE","77794","0","0","48.52087","8.11449","0","-1"
"127577","Mahlberg",,"mahlberg",,"DE","77972","0","0","48.28705","7.81242","0","-1"
"127578","Meißenheim",,"meißenheim",,"DE","77974","0","0","48.40992","7.77859","0","-1"
"127579","Mühlenbach",,"muhlenbach",,"DE","77796","0","0","48.25290","8.11063","0","-1"
"127580","Neuried",,"neuried",,"DE","77743","0","0","48.44862","7.81552","0","-1"
"127581","Nordrach",,"nordrach",,"DE","77787","0","0","48.39791","8.07956","0","-1"
"127582","Oberharmersbach",,"oberharmersbach",,"DE","77784","0","0","48.37334","8.12669","0","-1"
"127583","Oberkirch",,"oberkirch",,"DE","77704","0","0","48.53186","8.07711","0","-1"
